student,module_1_technical_reading,module_1_report_writing,module_1_presentation,module_2_technical_reading,module_2_report_writing,module_2_presentation,module_3_technical_reading,module_3_report_writing,module_3_presentation,module_4_technical_reading,module_4_report_writing,module_4_presentation
student-1,62,45,40,65,48,42,68,50,45,70,52,48
student-2,75,70,65,78,72,68,80,75,70,82,78,72
student-3,58,55,50,60,56,52,62,58,54,64,60,56
student-4,70,50,42,72,52,45,73,54,48,75,56,50
student-5,55,52,48,58,54,50,60,56,52,62,58,55
student-6,80,75,72,82,78,75,84,80,78,85,82,80
student-7,45,40,35,48,42,38,50,44,40,52,46,42
student-8,68,60,55,70,62,58,72,65,60,74,68,62
student-9,72,65,58,74,68,60,76,70,62,78,72,65
student-10,50,42,38,52,44,40,55,48,42,58,50,45
