student,quiz_1_verb_tenses,quiz_1_articles,quiz_1_prepositions,quiz_2_verb_tenses,quiz_2_articles,quiz_2_prepositions,quiz_3_verb_tenses,quiz_3_articles,quiz_3_prepositions,quiz_4_verb_tenses,quiz_4_articles,quiz_4_prepositions,quiz_5_verb_tenses,quiz_5_articles,quiz_5_prepositions
student-1,3,2,4,4,2,4,5,3,5,5,3,5,6,3,5
student-2,5,4,3,5,4,4,6,5,4,6,5,5,7,6,5
student-3,2,3,2,2,2,2,3,3,3,2,2,2,3,3,2
student-4,6,5,6,6,5,5,7,6,6,7,6,7,8,7,7
student-5,4,4,4,5,4,5,5,5,5,6,5,5,6,5,6
student-6,3,5,3,4,5,3,4,6,4,4,5,3,5,6,4
student-7,7,6,5,6,5,4,5,5,4,5,4,3,4,4,3
student-8,4,3,3,4,3,4,5,4,4,5,4,5,5,5,5
student-9,2,2,3,3,2,3,3,3,3,4,3,4,4,3,4
student-10,5,4,5,5,5,5,5,4,4,4,4,4,4,3,4
student-11,3,3,2,3,3,3,4,4,3,4,4,4,5,4,4
student-12,6,5,5,7,6,6,7,6,6,8,7,7,8,7,7
