student,quiz1_grammar,quiz1_vocab,quiz2_grammar,quiz2_vocab,quiz3_grammar,quiz3_vocab,quiz4_grammar,quiz4_vocab,quiz5_grammar,quiz5_vocab,quiz6_grammar,quiz6_vocab
student-1,14,16,15,17,16,18,17,18,18,19,18,19
student-2,8,10,9,11,9,12,10,12,10,13,11,13
student-3,18,17,18,18,19,18,19,19,20,19,20,20
student-4,12,9,12,10,13,10,13,10,13,11,13,11
student-5,10,12,11,13,12,14,13,15,14,16,15,17
student-6,16,14,16,14,16,15,17,15,17,15,17,16
student-7,6,8,7,9,8,10,9,11,10,12,11,13
student-8,15,15,14,14,13,14,13,13,12,13,12,12
student-9,11,11,12,12,13,13,14,14,15,14,15,15
student-10,9,7,9,8,10,8,10,9,11,9,11,10
student-11,17,18,17,18,18,19,18,19,19,20,19,20
student-12,13,12,13,13,14,14,15,14,15,15,16,16
