student,term1_listening,term1_speaking,term1_reading,term1_writing,term1_vocabulary,term2_listening,term2_speaking,term2_reading,term2_writing,term2_vocabulary,term3_listening,term3_speaking,term3_reading,term3_writing,term3_vocabulary
student-1,4,3,2,2,3,5,4,3,2,4,6,5,4,3,5
student-2,3,2,3,2,2,3,3,3,2,3,4,3,4,3,3
student-3,5,5,4,3,5,6,5,5,4,6,7,6,6,5,7
student-4,2,2,2,1,2,3,2,2,1,2,3,3,3,2,3
student-5,4,4,3,3,4,5,5,4,3,5,6,5,5,4,5
student-6,3,3,3,2,3,4,3,3,2,3,4,4,4,3,4
student-7,5,4,5,4,4,5,4,5,4,5,6,5,6,5,6
student-8,2,1,2,1,2,2,2,2,1,2,3,2,2,1,2
student-9,4,3,3,3,3,4,4,4,3,4,5,4,4,4,5
student-10,3,3,2,2,3,4,3,3,2,3,4,4,3,3,4
student-11,5,4,4,3,5,6,5,5,4,5,6,5,5,4,6
student-12,3,2,2,2,2,3,3,3,2,3,4,3,3,2,3
student-13,4,4,3,2,4,5,4,4,3,4,5,5,4,3,5
student-14,2,2,2,1,2,3,2,2,2,2,3,3,3,2,3
student-15,4,3,4,3,3,5,4,4,3,4,5,4,5,4,5
