student,month_1_listening,month_1_speaking,month_2_listening,month_2_speaking,month_3_listening,month_3_speaking,month_4_listening,month_4_speaking,month_5_listening,month_5_speaking,month_6_listening,month_6_speaking
student-1,4,3,5,3,5,4,6,4,6,5,7,5
student-2,6,6,6,6,7,7,7,7,7,7,8,8
student-3,3,5,4,5,4,6,5,6,5,7,6,7
student-4,5,4,5,4,5,5,6,5,6,5,6,6
student-5,3,2,3,3,4,3,4,3,4,4,5,4
student-6,7,5,7,5,7,6,8,6,8,6,8,7
student-7,4,4,4,4,5,4,5,5,5,5,6,5
student-8,2,3,3,3,3,4,4,4,4,4,5,5
student-9,5,6,5,6,6,6,6,7,6,7,7,7
student-10,3,3,4,3,4,4,4,4,5,4,5,5
