student,term1_reading,term1_writing,term1_listening,term1_speaking,term2_reading,term2_writing,term2_listening,term2_speaking,term3_reading,term3_writing,term3_listening,term3_speaking
student-1,55,48,50,45,58,52,54,48,62,55,57,52
student-2,72,70,68,65,74,72,70,68,76,74,72,70
student-3,40,35,42,38,42,36,44,40,44,38,46,42
student-4,60,55,58,52,60,54,58,50,59,53,57,48
student-5,35,30,38,40,40,34,42,44,45,38,46,48
student-6,65,62,60,58,68,65,63,62,70,68,66,64
student-7,48,45,50,42,50,46,52,44,52,48,54,46
student-8,30,28,32,35,34,32,36,38,38,35,40,42
student-9,58,55,56,50,56,52,54,48,54,50,52,46
student-10,42,40,44,38,46,44,48,42,50,48,52,46
student-11,68,65,64,60,70,68,66,63,72,70,68,66
student-12,50,48,46,44,52,50,48,46,54,52,50,48
