assessment,date,skill_area,task_description,score,max_score
Placement test,2025-04-07,Grammar,Multiple choice and gap fill,28,40
Placement test,2025-04-07,Reading,Text comprehension questions,16,20
Placement test,2025-04-07,Writing,Email to a colleague,12,20
Placement test,2025-04-07,Listening,Short dialogues,14,20
Module 1 end,2025-05-16,Grammar,Tense review and modals,30,40
Module 1 end,2025-05-16,Reading,Business article comprehension,16,20
Module 1 end,2025-05-16,Writing,Formal proposal summary,11,20
Module 1 end,2025-05-16,Listening,Meeting recording,15,20
Mid-course review,2025-07-04,Grammar,Conditionals and reported speech,32,40
Mid-course review,2025-07-04,Reading,Report and chart interpretation,18,20
Mid-course review,2025-07-04,Writing,Report on quarterly figures,12,20
Mid-course review,2025-07-04,Listening,Presentation recording,16,20
Module 3 end,2025-09-12,Grammar,Passive voice and relative clauses,34,40
Module 3 end,2025-09-12,Reading,Contract and policy text,18,20
Module 3 end,2025-09-12,Writing,Complaint response email,13,20
Module 3 end,2025-09-12,Listening,Teleconference with accents,14,20
End-of-course,2025-11-14,Grammar,Comprehensive grammar review,35,40
End-of-course,2025-11-14,Reading,Mixed business texts,19,20
End-of-course,2025-11-14,Writing,Persuasive business proposal,14,20
End-of-course,2025-11-14,Listening,News report and interview,17,20
