student,test_1_word_stress,test_1_vowel_sounds,test_1_consonant_clusters,test_2_word_stress,test_2_vowel_sounds,test_2_consonant_clusters,test_3_word_stress,test_3_vowel_sounds,test_3_consonant_clusters,test_4_word_stress,test_4_vowel_sounds,test_4_consonant_clusters,test_5_word_stress,test_5_vowel_sounds,test_5_consonant_clusters,test_6_word_stress,test_6_vowel_sounds,test_6_consonant_clusters
student-1,3,2,2,3,2,2,4,3,3,4,3,3,5,3,3,5,4,4
student-2,5,4,3,5,4,3,5,4,4,6,5,4,6,5,4,7,5,5
student-3,4,3,4,4,3,3,3,2,3,3,2,2,3,2,2,2,2,2
student-4,2,2,2,3,3,2,3,3,3,4,3,3,4,4,3,5,4,4
student-5,3,4,2,4,4,2,4,5,3,5,5,3,5,5,3,6,6,4
student-6,6,5,5,6,5,5,6,5,5,7,6,5,7,6,6,7,6,6
student-7,4,3,3,4,2,3,4,2,2,4,2,2,3,2,2,3,2,2
student-8,3,3,2,3,3,3,4,4,3,4,4,3,5,4,4,5,5,4
student-9,5,4,4,5,5,4,6,5,5,6,5,5,6,6,5,7,6,6
student-10,2,3,2,3,3,2,3,3,3,4,4,3,4,4,3,5,5,4
