student,week_2_main_idea,week_2_detail,week_2_vocabulary,week_4_main_idea,week_4_detail,week_4_vocabulary,week_6_main_idea,week_6_detail,week_6_vocabulary,week_8_main_idea,week_8_detail,week_8_vocabulary
student-1,3,2,2,3,2,3,4,3,3,4,3,4
student-2,5,4,4,5,5,5,5,5,5,6,5,5
student-3,2,2,1,2,2,2,3,2,2,3,3,3
student-4,4,3,3,4,4,4,5,4,4,5,5,5
student-5,3,3,3,3,3,3,3,3,3,3,3,3
student-6,4,4,3,5,4,4,5,5,4,6,5,5
student-7,2,1,2,3,2,2,3,2,3,4,3,3
student-8,5,5,4,5,5,5,5,4,4,5,4,4
student-9,3,2,3,3,3,3,4,3,4,4,4,4
student-10,1,1,1,2,1,1,2,2,2,3,2,2
