student,week2_reading,week2_vocab,week4_reading,week4_vocab,week6_reading,week6_vocab,week8_reading,week8_vocab,week10_reading,week10_vocab,week12_reading,week12_vocab
student-1,5,4,5,5,6,5,6,6,7,6,7,7
student-2,3,3,3,3,4,4,4,4,4,4,5,5
student-3,6,5,6,6,7,6,7,7,7,7,8,7
student-4,2,2,3,2,3,3,3,3,4,3,4,4
student-5,4,3,4,4,4,4,5,4,5,5,5,5
student-6,3,4,3,4,3,4,3,4,3,4,3,4
student-7,5,5,6,5,6,6,7,6,7,7,8,7
student-8,4,3,4,3,5,4,5,4,5,5,6,5
student-9,2,3,2,3,3,3,3,3,3,4,4,4
student-10,6,6,7,6,7,7,7,7,8,8,8,8
student-11,4,4,5,4,5,5,5,5,6,5,6,6
student-12,3,2,3,3,3,3,4,3,4,4,4,4
student-13,5,4,5,5,6,5,6,6,6,6,7,6
student-14,4,3,4,3,4,4,5,4,5,4,5,5
student-15,3,3,4,3,4,4,4,4,5,4,5,5
