student_id,task_1_topic,task_1_content_relevance,task_1_grammar_range,task_1_grammar_accuracy,task_1_vocabulary_range,task_1_vocabulary_accuracy,task_2_topic,task_2_content_relevance,task_2_grammar_range,task_2_grammar_accuracy,task_2_vocabulary_range,task_2_vocabulary_accuracy
student-1,Describe your neighbourhood,4,3,3,3,4,Compare two photos of markets,3,3,2,3,3
student-2,Describe your neighbourhood,3,2,2,2,2,Compare two photos of markets,2,2,2,2,1
student-3,Describe your neighbourhood,5,4,4,4,4,Compare two photos of markets,4,4,3,4,4
student-4,Describe your neighbourhood,3,3,2,3,3,Compare two photos of markets,3,2,2,2,2
student-5,Describe your neighbourhood,4,3,3,3,3,Compare two photos of markets,4,3,3,3,3
student-6,Describe your neighbourhood,2,2,1,2,2,Compare two photos of markets,2,1,1,1,1
student-7,Describe your neighbourhood,4,4,3,4,4,Compare two photos of markets,3,3,3,3,3
student-8,Describe your neighbourhood,3,3,2,2,3,Compare two photos of markets,3,2,2,2,2
student-9,Describe your neighbourhood,5,4,4,5,5,Compare two photos of markets,5,4,4,4,5
student-10,Describe your neighbourhood,4,3,3,3,3,Compare two photos of markets,3,3,2,3,2
student-11,Describe your neighbourhood,3,2,2,2,2,Compare two photos of markets,2,2,1,2,2
student-12,Describe your neighbourhood,4,3,3,3,3,Compare two photos of markets,4,3,3,3,3
