student,week_2_vocab,week_2_grammar,week_4_vocab,week_4_grammar,week_6_vocab,week_6_grammar,week_8_vocab,week_8_grammar,week_10_vocab,week_10_grammar,week_12_vocab,week_12_grammar
student-1,3,5,4,5,4,6,5,6,5,7,6,7
student-2,6,4,6,4,7,5,7,5,7,5,8,5
student-3,4,4,5,5,5,5,6,6,6,6,7,7
student-4,5,6,5,6,5,7,6,7,6,7,6,8
student-5,2,3,3,3,3,3,3,4,4,4,4,4
student-6,7,7,7,7,8,7,8,8,8,8,9,8
student-7,4,3,4,3,5,3,4,4,5,3,4,4
student-8,3,5,4,5,4,6,5,6,5,7,5,7
student-9,5,4,5,4,6,5,6,5,6,5,7,5
student-10,4,2,4,3,4,3,5,3,5,3,5,3
student-11,3,4,3,4,4,5,4,5,5,5,5,6
student-12,6,6,6,6,7,6,7,7,7,7,8,7
student-13,2,2,2,3,3,3,3,3,3,3,4,4
student-14,5,5,5,5,6,5,6,6,6,6,7,6
student-15,4,4,5,4,5,5,6,5,6,5,6,5
