student,quiz_1_recognition,quiz_1_production,quiz_2_recognition,quiz_2_production,quiz_3_recognition,quiz_3_production,quiz_4_recognition,quiz_4_production,quiz_5_recognition,quiz_5_production,quiz_6_recognition,quiz_6_production,quiz_7_recognition,quiz_7_production,quiz_8_recognition,quiz_8_production
student-1,6,3,6,4,7,4,7,4,8,5,8,5,8,5,9,6
student-2,4,2,5,3,5,3,6,3,6,4,7,4,7,4,7,5
student-3,7,5,8,5,8,6,8,6,9,6,9,7,9,7,10,7
student-4,5,3,5,3,5,3,5,3,5,3,6,3,6,3,6,4
student-5,3,2,4,2,4,3,5,3,5,3,6,4,6,4,7,4
student-6,6,4,7,5,7,5,8,5,8,6,8,6,9,6,9,7
student-7,8,6,8,6,8,6,9,6,9,7,9,7,9,7,10,7
student-8,4,3,4,3,5,3,5,4,5,4,6,4,6,4,6,5
student-9,5,4,6,4,6,5,7,5,7,5,7,6,8,6,8,6
student-10,7,4,7,4,7,4,7,4,8,5,8,5,8,5,8,5
student-11,3,1,3,2,4,2,4,2,5,2,5,3,5,3,6,3
student-12,6,5,7,5,7,6,8,6,8,6,9,7,9,7,9,8
