student,quiz_1_meaning,quiz_1_usage,quiz_2_meaning,quiz_2_usage,quiz_3_meaning,quiz_3_usage,quiz_4_meaning,quiz_4_usage,quiz_5_meaning,quiz_5_usage,quiz_6_meaning,quiz_6_usage
student-1,6,4,7,5,7,5,8,6,8,6,9,7
student-2,4,3,4,3,5,3,5,4,5,4,5,4
student-3,7,6,7,6,8,7,8,7,9,8,9,8
student-4,5,4,5,4,5,4,5,4,5,4,5,4
student-5,3,2,4,3,4,3,5,3,5,4,6,4
student-6,6,5,6,5,6,5,7,5,7,6,7,6
student-7,5,5,5,5,6,5,6,5,6,5,6,6
student-8,4,3,3,2,3,2,4,3,4,3,4,3
student-9,7,6,8,7,8,7,9,7,9,8,10,8
student-10,3,3,3,3,4,3,4,3,4,4,5,4
student-11,5,4,6,5,6,5,6,5,7,6,7,6
student-12,8,7,8,7,9,8,9,8,10,9,10,9
