student,essay1_content,essay1_organisation,essay1_language,essay1_mechanics,essay2_content,essay2_organisation,essay2_language,essay2_mechanics,essay3_content,essay3_organisation,essay3_language,essay3_mechanics
student-1,6,5,5,7,7,6,6,7,7,6,6,8
student-2,4,3,3,4,4,4,3,5,5,4,4,5
student-3,7,7,6,6,7,7,7,6,8,8,7,7
student-4,3,3,4,3,3,3,4,3,4,3,4,4
student-5,5,5,4,5,6,5,5,5,6,6,5,6
student-6,8,7,7,8,8,8,7,8,9,8,8,8
student-7,4,4,3,4,4,4,4,4,4,4,4,5
student-8,6,6,5,6,5,5,5,5,5,5,4,5
student-9,5,4,5,5,6,5,5,5,6,6,6,6
student-10,3,2,3,3,3,3,3,3,4,3,3,4
