student_id,task_1_content,task_1_grammar,task_1_vocabulary,task_1_organisation,task_2_content,task_2_grammar,task_2_vocabulary,task_2_organisation,task_3_content,task_3_grammar,task_3_vocabulary,task_3_organisation
student-1,4,3,4,4,5,4,4,5,5,4,5,5
student-2,3,2,3,2,3,2,3,3,4,3,3,3
student-3,5,5,5,5,5,5,5,5,5,5,5,5
student-4,2,1,2,1,2,2,2,2,3,2,2,2
student-5,4,4,4,3,4,3,4,4,5,4,4,4
student-6,3,3,3,3,4,3,3,3,4,3,4,4
student-7,1,1,1,1,2,1,2,1,2,2,2,2
student-8,4,3,3,4,4,4,4,4,5,4,4,5
student-9,3,2,3,2,3,3,3,3,3,3,3,3
student-10,5,4,5,4,5,5,5,5,5,5,5,5
student-11,2,2,2,2,3,2,3,2,3,3,3,3
student-12,4,4,4,4,5,4,4,4,5,5,5,5
