Student,Mock 1 Grammar,Mock 1 Vocabulary,Mock 1 Reading,Mock 1 Translation,Mock 2 Grammar,Mock 2 Vocabulary,Mock 2 Reading,Mock 2 Translation,Mock 3 Grammar,Mock 3 Vocabulary,Mock 3 Reading,Mock 3 Translation,Mock 4 Grammar,Mock 4 Vocabulary,Mock 4 Reading,Mock 4 Translation
Student-1,58,52,48,42,60,55,50,44,62,58,52,46,65,60,55,48
Student-2,72,68,65,60,74,70,67,62,75,71,68,63,76,72,70,65
Student-3,45,40,38,32,48,43,40,34,50,45,42,36,52,47,44,38
Student-4,80,75,72,68,81,76,73,69,82,77,74,70,83,78,75,71
Student-5,38,35,30,25,40,36,32,27,42,38,34,28,44,40,36,30
Student-6,65,60,58,55,66,61,59,55,67,62,60,56,68,63,61,57
Student-7,55,50,45,40,57,52,47,42,60,55,50,44,63,58,53,46
Student-8,70,65,62,58,71,66,63,58,72,67,64,59,73,68,65,60
Student-9,42,38,35,28,44,40,37,30,45,41,38,31,46,42,39,32
Student-10,76,72,70,65,77,73,71,66,78,74,72,67,79,75,73,68
Student-11,50,45,42,35,52,47,44,37,54,49,46,39,56,51,48,41
Student-12,68,63,60,55,69,64,61,56,70,65,62,57,71,66,63,58
Student-13,35,30,28,22,37,32,30,24,38,33,31,25,40,35,33,27
Student-14,62,58,55,50,63,59,56,51,65,61,58,53,67,63,60,55
Student-15,48,44,40,34,50,46,42,36,52,48,44,38,54,50,46,40
Student-16,74,70,68,62,75,71,69,63,76,72,70,64,77,73,71,65
Student-17,40,36,33,26,42,38,35,28,44,40,37,30,46,42,39,32
Student-18,58,54,50,44,60,56,52,46,62,58,54,48,64,60,56,50
Student-19,82,78,75,70,83,79,76,71,84,80,77,72,85,81,78,73
Student-20,44,40,36,30,46,42,38,32,48,44,40,34,50,46,42,36
Student-21,66,62,58,52,67,63,59,53,68,64,60,54,69,65,61,55
Student-22,52,48,44,38,54,50,46,40,56,52,48,42,58,54,50,44
Student-23,70,66,63,58,71,67,64,59,72,68,65,60,73,69,66,61
Student-24,36,32,28,22,38,34,30,24,40,36,32,26,42,38,34,28
Student-25,60,56,52,46,62,58,54,48,64,60,56,50,66,62,58,52
Student-26,78,74,72,66,79,75,73,67,80,76,74,68,81,77,75,69
